gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5506098244	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS852505848	Animalia	Chordata	Aves	Falconiformes	Falconidae	Spiziapteryx	Spiziapteryx circumcincta		SPECIES	Spiziapteryx circumcincta (Kaup, 1852)	Spiziapteryx circumcincta		AR	camino a Talampaya	San Juan	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-30.515753	-67.56472							2005-07-26	26	7	2005	2481068	2481068	HUMAN_OBSERVATION	CLO	EBIRD	OBS852505848				CC_BY_4_0		obsr500739			2025-11-05T07:38:29.688Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5506052836	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS306677274	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Rauenia	Rauenia bonariensis		SPECIES	Rauenia bonariensis (J.F.Gmelin, 1789)	Rauenia bonariensis		AR	Quebrada La Mesada de Valle Fértil	San Juan	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-31.024105	-67.29654							2013-12-10	10	12	2013	11345373	11345373	HUMAN_OBSERVATION	CLO	EBIRD	OBS306677274				CC_BY_4_0		obsr544102			2025-11-05T07:43:42.697Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5505986796	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS2774438196	Animalia	Chordata	Aves	Passeriformes	Fringillidae	Spinus	Spinus magellanicus		SPECIES	Spinus magellanicus (Vieillot, 1805)	Spinus magellanicus		AR	Vía sin nombre, Usno, San Juan, AR (-30.574, -67.552)	San Juan	PRESENT	4	e2e717bf-551a-4917-bdc9-4fa0f342c530	-30.573515	-67.55228							2024-10-12	12	10	2024	7341745	7341745	HUMAN_OBSERVATION	CLO	EBIRD	OBS2774438196				CC_BY_4_0		obsr3702068			2025-11-05T07:43:03.868Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5505945996	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1938297163	Animalia	Chordata	Aves	Columbiformes	Columbidae	Patagioenas	Patagioenas picazuro		SPECIES	Patagioenas picazuro (Temminck, 1813)	Patagioenas picazuro		AR	Río La Tumana	San Juan	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-30.864784	-67.3236							2024-01-06	6	1	2024	2495287	2495287	HUMAN_OBSERVATION	CLO	EBIRD	OBS1938297163				CC_BY_4_0		obsr4494563			2025-11-05T07:38:31.209Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5505904290	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1938297137	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Myiodynastes	Myiodynastes maculatus		SPECIES	Myiodynastes maculatus (Statius Muller, 1776)	Myiodynastes maculatus		AR	Río La Tumana	San Juan	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-30.864784	-67.3236							2024-01-06	6	1	2024	2483497	2483497	HUMAN_OBSERVATION	CLO	EBIRD	OBS1938297137				CC_BY_4_0		obsr4494563			2025-11-05T07:41:55.584Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5505877112	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS2325254010	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Furnarius	Furnarius rufus		SPECIES	Furnarius rufus (Gmelin, 1788)	Furnarius rufus		AR	M5529, Departamento Valle Fértil AR-San Juan -30.57319, -67.56563	San Juan	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-30.573193	-67.56563							2024-07-16	16	7	2024	2485821	2485821	HUMAN_OBSERVATION	CLO	EBIRD	OBS2325254010				CC_BY_4_0		obsr1961450			2025-11-05T07:42:10.879Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5505637094	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1047295125	Animalia	Chordata	Aves	Passeriformes	Vireonidae	Vireo	Vireo olivaceus		SPECIES	Vireo chivi (Vieillot, 1817)	Vireo chivi		AR	Unnamed Road, San Juan, AR (-30,637, -67,489)	San Juan	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-30.637106	-67.48901							2021-01-07	7	1	2021	8345406	2487430	HUMAN_OBSERVATION	CLO	EBIRD	OBS1047295125				CC_BY_4_0		obsr1582172			2025-11-05T07:43:17.072Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5505503417	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1047295135	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Rauenia	Rauenia bonariensis		SPECIES	Rauenia bonariensis (J.F.Gmelin, 1789)	Rauenia bonariensis		AR	Unnamed Road, San Juan, AR (-30,637, -67,489)	San Juan	PRESENT	6	e2e717bf-551a-4917-bdc9-4fa0f342c530	-30.637106	-67.48901							2021-01-07	7	1	2021	11345373	11345373	HUMAN_OBSERVATION	CLO	EBIRD	OBS1047295135				CC_BY_4_0		obsr1582172			2025-11-05T07:43:54.958Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5505428801	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1859573910	Animalia	Chordata	Aves	Passeriformes	Turdidae	Turdus	Turdus amaurochalinus		SPECIES	Turdus amaurochalinus Cabanis, 1850	Turdus amaurochalinus		AR	Río La Tumana	San Juan	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-30.864784	-67.3236							2010-10-10	10	10	2010	2490752	2490752	HUMAN_OBSERVATION	CLO	EBIRD	OBS1859573910				CC_BY_4_0		obsr3165287			2025-11-05T07:39:19.766Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5505210884	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS2536987166	Animalia	Chordata	Aves	Passeriformes	Fringillidae	Euphonia	Euphonia chlorotica		SPECIES	Euphonia chlorotica (Linnaeus, 1766)	Euphonia chlorotica		AR	Vía sin nombre, Usno, San Juan, AR (-30.574, -67.552)	San Juan	PRESENT	10	e2e717bf-551a-4917-bdc9-4fa0f342c530	-30.573515	-67.55228							2024-10-12	12	10	2024	2487964	2487964	HUMAN_OBSERVATION	CLO	EBIRD	OBS2536987166				CC_BY_4_0		obsr4494563			2025-11-05T07:39:09.522Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
